Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto;Valor m2;Tipo Agrupado
Departamento;Miraflores;3;1;1;157;21000.0;3300.0;661.0;133.76;Departamento
Departamento;Lince;4;0;1;375;5900.0;4360.0;1902.0;15.73;Departamento
Departamento;Rímac;2;1;1;60;1300.0;669.0;80.0;21.67;Departamento
Departamento;Ate;3;1;1;135;9000.0;1220.0;430.0;66.67;Departamento
Departamento;Miraflores;2;1;1;100;8000.0;4100.0;500.0;80.0;Departamento
Departamento;San Borja;3;2;1;90;2400.0;820.0;165.0;26.67;Departamento
Departamento;Santa Rosa;3;0;0;74;2500.0;750.0;152.0;33.78;Departamento
Departamento;Ate;4;1;2;220;7800.0;1950.0;490.0;35.45;Departamento
Departamento;Villa María del Triunfo;2;1;1;92;2200.0;1430.0;236.0;23.91;Departamento
Departamento;San Borja;3;2;1;85;1700.0;722.0;144.0;20.0;Departamento
Departamento;Ate;3;2;1;200;7500.0;3300.0;640.0;37.5;Departamento
Departamento;Lince;3;2;1;123;4500.0;2500.0;780.0;36.59;Departamento
Departamento;Ate;3;2;1;170;7200.0;2200.0;0.0;42.35;Departamento
Habitación;Santa Rosa;0;0;0;20;700.0;710.0;80.0;35.0;Departamento
Departamento;Lince;2;1;0;57;1380.0;665.0;105.0;24.21;Departamento
Departamento;Chorrillos;2;1;1;110;3000.0;1524.0;120.0;27.27;Departamento
Departamento;San Borja;3;3;2;275;3700.0;1200.0;493.0;13.45;Departamento
Departamento;San Borja;2;1;1;90;1800.0;850.0;160.0;20.0;Departamento
Habitación;Cieneguilla;0;0;0;30;1100.0;396.0;25.0;36.67;Departamento
Departamento;Lince;2;2;2;99;5500.0;3237.0;502.0;55.56;Departamento
Departamento;San Borja;3;1;1;82;1890.0;680.0;142.0;23.05;Departamento
Departamento;Barranco;2;1;0;56;1500.0;520.0;49.0;26.79;Departamento
Departamento;Villa María del Triunfo;1;1;0;45;1500.0;1098.0;192.0;33.33;Departamento
Departamento;Villa María del Triunfo;3;2;1;95;5000.0;1130.0;261.0;52.63;Departamento
Departamento;Lince;4;2;1;160;5300.0;1980.0;440.0;33.12;Departamento
Departamento;Lince;3;4;3;263;10000.0;2668.0;896.0;38.02;Departamento
Departamento;Barranco;3;1;1;93;3000.0;1558.0;0.0;32.26;Departamento
Departamento;Barranco;1;1;0;67;1500.0;705.0;67.0;22.39;Departamento
Departamento;Villa María del Triunfo;3;1;0;100;6050.0;1155.0;234.0;60.5;Departamento
Departamento;Pachacámac;5;2;3;401;12900.0;3781.0;7300.0;32.17;Departamento
Casa en condominio;San Martín de Porres;4;3;1;250;6900.0;1000.0;522.0;27.6;Casa
Departamento;Lince;2;2;1;80;4000.0;1721.0;311.0;50.0;Departamento
Departamento;San Borja;2;1;1;85;1500.0;570.0;180.0;17.65;Departamento
Departamento;Punta Negra;2;1;1;80;1500.0;745.0;89.0;18.75;Departamento
Departamento;Santa Rosa;3;1;0;128;4000.0;1230.0;0.0;31.25;Departamento
Departamento;Lince;1;1;1;71;2500.0;1100.0;0.0;35.21;Departamento
Casa de villa;Magdalena del Mar;2;0;0;65;1400.0;300.0;0.0;21.54;Casa
Departamento;Chorrillos;3;0;0;145;2000.0;1200.0;0.0;13.79;Departamento
Departamento;San Borja;2;1;1;65;2000.0;680.0;100.0;30.77;Departamento
Departamento;San Borja;2;1;1;75;1000.0;1040.0;112.0;13.33;Departamento
Departamento;San Borja;2;1;1;65;1500.0;580.0;73.0;23.08;Departamento
Departamento;Lince;5;3;5;340;13000.0;3200.0;0.0;38.24;Departamento
